 Initializing flow with inflow =            1
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
   1300   0.10000E-02   0.13799E+02   0.14772E+01   0.53326E+00   0.96897E-05   0.00000E+00   0.00000E+00   0.34089E-05   0.00000E+00
   1400   0.10000E-02   0.13805E+02   0.15152E+01   0.40783E+00   0.11128E-04   0.00000E+00   0.00000E+00   0.37154E-05   0.00000E+00
   1500   0.10000E-02   0.13811E+02   0.15592E+01   0.31696E+00   0.12983E-04   0.00000E+00   0.00000E+00   0.41117E-05   0.00000E+00
   1600   0.10000E-02   0.13817E+02   0.16115E+01   0.24988E+00   0.15435E-04   0.00000E+00   0.00000E+00   0.46282E-05   0.00000E+00
   1700   0.10000E-02   0.13825E+02   0.16748E+01   0.19942E+00   0.18684E-04   0.00000E+00   0.00000E+00   0.52761E-05   0.00000E+00
   1800   0.10000E-02   0.13833E+02   0.17517E+01   0.16088E+00   0.22639E-04   0.00000E+00   0.00000E+00   0.59317E-05   0.00000E+00
   1900   0.10000E-02   0.13842E+02   0.18424E+01   0.13115E+00   0.26315E-04   0.00000E+00   0.00000E+00   0.62726E-05   0.00000E+00
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
   2000   0.10000E-02   0.13853E+02   0.19436E+01   0.10794E+00   0.28548E-04   0.00000E+00   0.00000E+00   0.62406E-05   0.00000E+00
   2100   0.10000E-02   0.13862E+02   0.20439E+01   0.89605E-01   0.28965E-04   0.00000E+00   0.00000E+00   0.60659E-05   0.00000E+00
   2200   0.10000E-02   0.13871E+02   0.21185E+01   0.74984E-01   0.27457E-04   0.00000E+00   0.00000E+00   0.58649E-05   0.00000E+00
   2300   0.10000E-02   0.13877E+02   0.21524E+01   0.63214E-01   0.25116E-04   0.00000E+00   0.00000E+00   0.57405E-05   0.00000E+00
   2400   0.10000E-02   0.13883E+02   0.21614E+01   0.53659E-01   0.22784E-04   0.00000E+00   0.00000E+00   0.56990E-05   0.00000E+00
   2500   0.10000E-02   0.13888E+02   0.21711E+01   0.45839E-01   0.20621E-04   0.00000E+00   0.00000E+00   0.57116E-05   0.00000E+00
   2600   0.10000E-02   0.13892E+02   0.21921E+01   0.39389E-01   0.18802E-04   0.00000E+00   0.00000E+00   0.57659E-05   0.00000E+00
   2700   0.10000E-02   0.13896E+02   0.22212E+01   0.34032E-01   0.17210E-04   0.00000E+00   0.00000E+00   0.58327E-05   0.00000E+00
   2800   0.10000E-02   0.13899E+02   0.22523E+01   0.29553E-01   0.15805E-04   0.00000E+00   0.00000E+00   0.58996E-05   0.00000E+00
   2900   0.10000E-02   0.13902E+02   0.22820E+01   0.25788E-01   0.14609E-04   0.00000E+00   0.00000E+00   0.59573E-05   0.00000E+00
   3000   0.10000E-02   0.13904E+02   0.23090E+01   0.22604E-01   0.13540E-04   0.00000E+00   0.00000E+00   0.59955E-05   0.00000E+00
   3100   0.10000E-02   0.13906E+02   0.23328E+01   0.19897E-01   0.12603E-04   0.00000E+00   0.00000E+00   0.60173E-05   0.00000E+00
   3200   0.10000E-02   0.13908E+02   0.23534E+01   0.17583E-01   0.11808E-04   0.00000E+00   0.00000E+00   0.60209E-05   0.00000E+00
   3300   0.10000E-02   0.13910E+02   0.23713E+01   0.15596E-01   0.11108E-04   0.00000E+00   0.00000E+00   0.60032E-05   0.00000E+00
   3400   0.10000E-02   0.13912E+02   0.23866E+01   0.13883E-01   0.10504E-04   0.00000E+00   0.00000E+00   0.59690E-05   0.00000E+00
   3500   0.10000E-02   0.13914E+02   0.23997E+01   0.12399E-01   0.10004E-04   0.00000E+00   0.00000E+00   0.59195E-05   0.00000E+00
   3600   0.10000E-02   0.13916E+02   0.24109E+01   0.11108E-01   0.95762E-05   0.00000E+00   0.00000E+00   0.58528E-05   0.00000E+00
   3700   0.10000E-02   0.13917E+02   0.24205E+01   0.99820E-02   0.92077E-05   0.00000E+00   0.00000E+00   0.57720E-05   0.00000E+00
   3800   0.10000E-02   0.13919E+02   0.24286E+01   0.89953E-02   0.89084E-05   0.00000E+00   0.00000E+00   0.56807E-05   0.00000E+00
   3900   0.10000E-02   0.13921E+02   0.24354E+01   0.81276E-02   0.86642E-05   0.00000E+00   0.00000E+00   0.55784E-05   0.00000E+00
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
   4000   0.10000E-02   0.13922E+02   0.24413E+01   0.73623E-02   0.84533E-05   0.00000E+00   0.00000E+00   0.54653E-05   0.00000E+00
   4100   0.10000E-02   0.13924E+02   0.24462E+01   0.66854E-02   0.82759E-05   0.00000E+00   0.00000E+00   0.53446E-05   0.00000E+00
   4200   0.10000E-02   0.13926E+02   0.24503E+01   0.60848E-02   0.81380E-05   0.00000E+00   0.00000E+00   0.52187E-05   0.00000E+00
   4300   0.10000E-02   0.13927E+02   0.24536E+01   0.55502E-02   0.80291E-05   0.00000E+00   0.00000E+00   0.50876E-05   0.00000E+00
   4400   0.10000E-02   0.13929E+02   0.24564E+01   0.50732E-02   0.79339E-05   0.00000E+00   0.00000E+00   0.49514E-05   0.00000E+00
   4500   0.10000E-02   0.13931E+02   0.24586E+01   0.46464E-02   0.78500E-05   0.00000E+00   0.00000E+00   0.48118E-05   0.00000E+00
   4600   0.10000E-02   0.13933E+02   0.24603E+01   0.42638E-02   0.77835E-05   0.00000E+00   0.00000E+00   0.46711E-05   0.00000E+00
   4700   0.10000E-02   0.13935E+02   0.24615E+01   0.39196E-02   0.77339E-05   0.00000E+00   0.00000E+00   0.45299E-05   0.00000E+00
   4800   0.10000E-02   0.13937E+02   0.24624E+01   0.36095E-02   0.76926E-05   0.00000E+00   0.00000E+00   0.43883E-05   0.00000E+00
   4900   0.10000E-02   0.13939E+02   0.24629E+01   0.33293E-02   0.76513E-05   0.00000E+00   0.00000E+00   0.42464E-05   0.00000E+00
   5000   0.10000E-02   0.13941E+02   0.24632E+01   0.30759E-02   0.76098E-05   0.00000E+00   0.00000E+00   0.41051E-05   0.00000E+00
   5100   0.10000E-02   0.13943E+02   0.24632E+01   0.28460E-02   0.75721E-05   0.00000E+00   0.00000E+00   0.39658E-05   0.00000E+00
   5200   0.10000E-02   0.13946E+02   0.24629E+01   0.26372E-02   0.75404E-05   0.00000E+00   0.00000E+00   0.38291E-05   0.00000E+00
   5300   0.10000E-02   0.13948E+02   0.24624E+01   0.24470E-02   0.75115E-05   0.00000E+00   0.00000E+00   0.36949E-05   0.00000E+00
   5400   0.10000E-02   0.13950E+02   0.24617E+01   0.22735E-02   0.74804E-05   0.00000E+00   0.00000E+00   0.35633E-05   0.00000E+00
   5500   0.10000E-02   0.13953E+02   0.24608E+01   0.21150E-02   0.74441E-05   0.00000E+00   0.00000E+00   0.34343E-05   0.00000E+00
   5600   0.10000E-02   0.13955E+02   0.24598E+01   0.19700E-02   0.74031E-05   0.00000E+00   0.00000E+00   0.33082E-05   0.00000E+00
   5700   0.10000E-02   0.13958E+02   0.24586E+01   0.18371E-02   0.73599E-05   0.00000E+00   0.00000E+00   0.31857E-05   0.00000E+00
   5800   0.10000E-02   0.13961E+02   0.24573E+01   0.17150E-02   0.73165E-05   0.00000E+00   0.00000E+00   0.30668E-05   0.00000E+00
   5900   0.10000E-02   0.13963E+02   0.24559E+01   0.16028E-02   0.72725E-05   0.00000E+00   0.00000E+00   0.29518E-05   0.00000E+00
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
   6000   0.10000E-02   0.13966E+02   0.24544E+01   0.14995E-02   0.72263E-05   0.00000E+00   0.00000E+00   0.28404E-05   0.00000E+00
   6100   0.10000E-02   0.13969E+02   0.24528E+01   0.14042E-02   0.71759E-05   0.00000E+00   0.00000E+00   0.27326E-05   0.00000E+00
   6200   0.10000E-02   0.13972E+02   0.24511E+01   0.13162E-02   0.71205E-05   0.00000E+00   0.00000E+00   0.26283E-05   0.00000E+00
   6300   0.10000E-02   0.13975E+02   0.24493E+01   0.12349E-02   0.70606E-05   0.00000E+00   0.00000E+00   0.25275E-05   0.00000E+00
   6400   0.10000E-02   0.13978E+02   0.24475E+01   0.11596E-02   0.69972E-05   0.00000E+00   0.00000E+00   0.24303E-05   0.00000E+00
   6500   0.10000E-02   0.13981E+02   0.24456E+01   0.10898E-02   0.69316E-05   0.00000E+00   0.00000E+00   0.23367E-05   0.00000E+00
   6600   0.10000E-02   0.13984E+02   0.24437E+01   0.10251E-02   0.68645E-05   0.00000E+00   0.00000E+00   0.22467E-05   0.00000E+00
   6700   0.10000E-02   0.13987E+02   0.24417E+01   0.96497E-03   0.67958E-05   0.00000E+00   0.00000E+00   0.21602E-05   0.00000E+00
   6800   0.10000E-02   0.13991E+02   0.24396E+01   0.90904E-03   0.67250E-05   0.00000E+00   0.00000E+00   0.20771E-05   0.00000E+00
   6900   0.10000E-02   0.13994E+02   0.24376E+01   0.85697E-03   0.66518E-05   0.00000E+00   0.00000E+00   0.19972E-05   0.00000E+00
   7000   0.10000E-02   0.13997E+02   0.24355E+01   0.80845E-03   0.65758E-05   0.00000E+00   0.00000E+00   0.19204E-05   0.00000E+00
   7100   0.10000E-02   0.14001E+02   0.24333E+01   0.76318E-03   0.64973E-05   0.00000E+00   0.00000E+00   0.18467E-05   0.00000E+00
   7200   0.10000E-02   0.14004E+02   0.24312E+01   0.72092E-03   0.64166E-05   0.00000E+00   0.00000E+00   0.17759E-05   0.00000E+00
   7300   0.10000E-02   0.14007E+02   0.24290E+01   0.68142E-03   0.63342E-05   0.00000E+00   0.00000E+00   0.17079E-05   0.00000E+00
   7400   0.10000E-02   0.14011E+02   0.24268E+01   0.64448E-03   0.62508E-05   0.00000E+00   0.00000E+00   0.16428E-05   0.00000E+00
   7500   0.10000E-02   0.14014E+02   0.24246E+01   0.60989E-03   0.61666E-05   0.00000E+00   0.00000E+00   0.15803E-05   0.00000E+00
   7600   0.10000E-02   0.14018E+02   0.24224E+01   0.57748E-03   0.60818E-05   0.00000E+00   0.00000E+00   0.15205E-05   0.00000E+00
   7700   0.10000E-02   0.14022E+02   0.24201E+01   0.54708E-03   0.59965E-05   0.00000E+00   0.00000E+00   0.14631E-05   0.00000E+00
   7800   0.10000E-02   0.14025E+02   0.24179E+01   0.51854E-03   0.59106E-05   0.00000E+00   0.00000E+00   0.14082E-05   0.00000E+00
   7900   0.10000E-02   0.14029E+02   0.24157E+01   0.49174E-03   0.58241E-05   0.00000E+00   0.00000E+00   0.13555E-05   0.00000E+00
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
   8000   0.10000E-02   0.14033E+02   0.24134E+01   0.46654E-03   0.57371E-05   0.00000E+00   0.00000E+00   0.13051E-05   0.00000E+00
   8100   0.10000E-02   0.14036E+02   0.24112E+01   0.44283E-03   0.56497E-05   0.00000E+00   0.00000E+00   0.12567E-05   0.00000E+00
   8200   0.10000E-02   0.14040E+02   0.24089E+01   0.42051E-03   0.55620E-05   0.00000E+00   0.00000E+00   0.12104E-05   0.00000E+00
   8300   0.10000E-02   0.14044E+02   0.24067E+01   0.39949E-03   0.54743E-05   0.00000E+00   0.00000E+00   0.11660E-05   0.00000E+00
   8400   0.10000E-02   0.14048E+02   0.24044E+01   0.37966E-03   0.53867E-05   0.00000E+00   0.00000E+00   0.11234E-05   0.00000E+00
   8500   0.10000E-02   0.14052E+02   0.24022E+01   0.36096E-03   0.52994E-05   0.00000E+00   0.00000E+00   0.10826E-05   0.00000E+00
   8600   0.10000E-02   0.14056E+02   0.23999E+01   0.34331E-03   0.52125E-05   0.00000E+00   0.00000E+00   0.10436E-05   0.00000E+00
   8700   0.10000E-02   0.14060E+02   0.23977E+01   0.32663E-03   0.51262E-05   0.00000E+00   0.00000E+00   0.10061E-05   0.00000E+00
   8800   0.10000E-02   0.14064E+02   0.23955E+01   0.31087E-03   0.50405E-05   0.00000E+00   0.00000E+00   0.97028E-06   0.00000E+00
   8900   0.10000E-02   0.14068E+02   0.23933E+01   0.29596E-03   0.49554E-05   0.00000E+00   0.00000E+00   0.93593E-06   0.00000E+00
   9000   0.10000E-02   0.14072E+02   0.23911E+01   0.28185E-03   0.48710E-05   0.00000E+00   0.00000E+00   0.90301E-06   0.00000E+00
   9100   0.10000E-02   0.14076E+02   0.23889E+01   0.26849E-03   0.47874E-05   0.00000E+00   0.00000E+00   0.87147E-06   0.00000E+00
   9200   0.10000E-02   0.14080E+02   0.23867E+01   0.25583E-03   0.47045E-05   0.00000E+00   0.00000E+00   0.84123E-06   0.00000E+00
   9300   0.10000E-02   0.14084E+02   0.23845E+01   0.24383E-03   0.46223E-05   0.00000E+00   0.00000E+00   0.81224E-06   0.00000E+00
   9400   0.10000E-02   0.14088E+02   0.23824E+01   0.23245E-03   0.45411E-05   0.00000E+00   0.00000E+00   0.78444E-06   0.00000E+00
   9500   0.10000E-02   0.14092E+02   0.23802E+01   0.22166E-03   0.44607E-05   0.00000E+00   0.00000E+00   0.75779E-06   0.00000E+00
   9600   0.10000E-02   0.14096E+02   0.23781E+01   0.21140E-03   0.43813E-05   0.00000E+00   0.00000E+00   0.73223E-06   0.00000E+00
   9700   0.10000E-02   0.14101E+02   0.23759E+01   0.20166E-03   0.43029E-05   0.00000E+00   0.00000E+00   0.70772E-06   0.00000E+00
   9800   0.10000E-02   0.14105E+02   0.23738E+01   0.19241E-03   0.42255E-05   0.00000E+00   0.00000E+00   0.68421E-06   0.00000E+00
   9900   0.10000E-02   0.14109E+02   0.23717E+01   0.18361E-03   0.41493E-05   0.00000E+00   0.00000E+00   0.66166E-06   0.00000E+00
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
  10000   0.10000E-02   0.14113E+02   0.23697E+01   0.17523E-03   0.40741E-05   0.00000E+00   0.00000E+00   0.64002E-06   0.00000E+00
  10100   0.10000E-02   0.14118E+02   0.23676E+01   0.16727E-03   0.40000E-05   0.00000E+00   0.00000E+00   0.61926E-06   0.00000E+00
  10200   0.10000E-02   0.14122E+02   0.23656E+01   0.15968E-03   0.39271E-05   0.00000E+00   0.00000E+00   0.59933E-06   0.00000E+00
  10300   0.10000E-02   0.14126E+02   0.23635E+01   0.15245E-03   0.38553E-05   0.00000E+00   0.00000E+00   0.58021E-06   0.00000E+00
  10400   0.10000E-02   0.14131E+02   0.23615E+01   0.14557E-03   0.37847E-05   0.00000E+00   0.00000E+00   0.56185E-06   0.00000E+00
  10500   0.10000E-02   0.14135E+02   0.23595E+01   0.13900E-03   0.37152E-05   0.00000E+00   0.00000E+00   0.54422E-06   0.00000E+00
  10600   0.10000E-02   0.14140E+02   0.23575E+01   0.13274E-03   0.36468E-05   0.00000E+00   0.00000E+00   0.52730E-06   0.00000E+00
  10700   0.10000E-02   0.14144E+02   0.23555E+01   0.12677E-03   0.35796E-05   0.00000E+00   0.00000E+00   0.51104E-06   0.00000E+00
  10800   0.10000E-02   0.14149E+02   0.23536E+01   0.12107E-03   0.35136E-05   0.00000E+00   0.00000E+00   0.49541E-06   0.00000E+00
  10900   0.10000E-02   0.14153E+02   0.23517E+01   0.11562E-03   0.34487E-05   0.00000E+00   0.00000E+00   0.48041E-06   0.00000E+00
  11000   0.10000E-02   0.14158E+02   0.23497E+01   0.11043E-03   0.33850E-05   0.00000E+00   0.00000E+00   0.46598E-06   0.00000E+00
  11100   0.10000E-02   0.14162E+02   0.23478E+01   0.10546E-03   0.33224E-05   0.00000E+00   0.00000E+00   0.45211E-06   0.00000E+00
  11200   0.10000E-02   0.14167E+02   0.23460E+01   0.10071E-03   0.32610E-05   0.00000E+00   0.00000E+00   0.43878E-06   0.00000E+00
  11300   0.10000E-02   0.14171E+02   0.23441E+01   0.96178E-04   0.32007E-05   0.00000E+00   0.00000E+00   0.42596E-06   0.00000E+00
  11400   0.10000E-02   0.14176E+02   0.23422E+01   0.91842E-04   0.31416E-05   0.00000E+00   0.00000E+00   0.41362E-06   0.00000E+00
  11500   0.10000E-02   0.14181E+02   0.23404E+01   0.87696E-04   0.30835E-05   0.00000E+00   0.00000E+00   0.40175E-06   0.00000E+00
  11600   0.10000E-02   0.14185E+02   0.23386E+01   0.83730E-04   0.30267E-05   0.00000E+00   0.00000E+00   0.39033E-06   0.00000E+00
  11700   0.10000E-02   0.14190E+02   0.23368E+01   0.79937E-04   0.29709E-05   0.00000E+00   0.00000E+00   0.37934E-06   0.00000E+00
  11800   0.10000E-02   0.14195E+02   0.23350E+01   0.76308E-04   0.29162E-05   0.00000E+00   0.00000E+00   0.36875E-06   0.00000E+00
  11900   0.10000E-02   0.14199E+02   0.23332E+01   0.72837E-04   0.28626E-05   0.00000E+00   0.00000E+00   0.35855E-06   0.00000E+00
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
  12000   0.10000E-02   0.14204E+02   0.23315E+01   0.69515E-04   0.28101E-05   0.00000E+00   0.00000E+00   0.34873E-06   0.00000E+00
  12100   0.10000E-02   0.14209E+02   0.23298E+01   0.66337E-04   0.27586E-05   0.00000E+00   0.00000E+00   0.33926E-06   0.00000E+00
  12200   0.10000E-02   0.14213E+02   0.23280E+01   0.63295E-04   0.27082E-05   0.00000E+00   0.00000E+00   0.33013E-06   0.00000E+00
  12300   0.10000E-02   0.14218E+02   0.23263E+01   0.60385E-04   0.26588E-05   0.00000E+00   0.00000E+00   0.32132E-06   0.00000E+00
  12400   0.10000E-02   0.14223E+02   0.23247E+01   0.57601E-04   0.26104E-05   0.00000E+00   0.00000E+00   0.31282E-06   0.00000E+00
  12500   0.10000E-02   0.14228E+02   0.23230E+01   0.54937E-04   0.25630E-05   0.00000E+00   0.00000E+00   0.30462E-06   0.00000E+00
  12600   0.10000E-02   0.14233E+02   0.23214E+01   0.52388E-04   0.25166E-05   0.00000E+00   0.00000E+00   0.29670E-06   0.00000E+00
  12700   0.10000E-02   0.14237E+02   0.23197E+01   0.49949E-04   0.24712E-05   0.00000E+00   0.00000E+00   0.28905E-06   0.00000E+00
  12800   0.10000E-02   0.14242E+02   0.23181E+01   0.47617E-04   0.24267E-05   0.00000E+00   0.00000E+00   0.28166E-06   0.00000E+00
  12900   0.10000E-02   0.14247E+02   0.23165E+01   0.45385E-04   0.23832E-05   0.00000E+00   0.00000E+00   0.27451E-06   0.00000E+00
  13000   0.10000E-02   0.14252E+02   0.23149E+01   0.43252E-04   0.23405E-05   0.00000E+00   0.00000E+00   0.26760E-06   0.00000E+00
  13100   0.10000E-02   0.14257E+02   0.23134E+01   0.41211E-04   0.22988E-05   0.00000E+00   0.00000E+00   0.26091E-06   0.00000E+00
  13200   0.10000E-02   0.14262E+02   0.23118E+01   0.39260E-04   0.22579E-05   0.00000E+00   0.00000E+00   0.25443E-06   0.00000E+00
  13300   0.10000E-02   0.14267E+02   0.23103E+01   0.37395E-04   0.22180E-05   0.00000E+00   0.00000E+00   0.24816E-06   0.00000E+00
  13400   0.10000E-02   0.14272E+02   0.23088E+01   0.35612E-04   0.21788E-05   0.00000E+00   0.00000E+00   0.24208E-06   0.00000E+00
  13500   0.10000E-02   0.14277E+02   0.23073E+01   0.33907E-04   0.21405E-05   0.00000E+00   0.00000E+00   0.23619E-06   0.00000E+00
  13600   0.10000E-02   0.14282E+02   0.23058E+01   0.32279E-04   0.21030E-05   0.00000E+00   0.00000E+00   0.23048E-06   0.00000E+00
  13700   0.10000E-02   0.14287E+02   0.23044E+01   0.30723E-04   0.20663E-05   0.00000E+00   0.00000E+00   0.22494E-06   0.00000E+00
  13800   0.10000E-02   0.14292E+02   0.23029E+01   0.29236E-04   0.20304E-05   0.00000E+00   0.00000E+00   0.21956E-06   0.00000E+00
  13900   0.10000E-02   0.14297E+02   0.23015E+01   0.27816E-04   0.19952E-05   0.00000E+00   0.00000E+00   0.21433E-06   0.00000E+00
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
  14000   0.10000E-02   0.14302E+02   0.23001E+01   0.26460E-04   0.19608E-05   0.00000E+00   0.00000E+00   0.20925E-06   0.00000E+00
  14100   0.10000E-02   0.14307E+02   0.22987E+01   0.25166E-04   0.19271E-05   0.00000E+00   0.00000E+00   0.20431E-06   0.00000E+00
  14200   0.10000E-02   0.14312E+02   0.22973E+01   0.23930E-04   0.18941E-05   0.00000E+00   0.00000E+00   0.19951E-06   0.00000E+00
  14300   0.10000E-02   0.14317E+02   0.22959E+01   0.22750E-04   0.18617E-05   0.00000E+00   0.00000E+00   0.19483E-06   0.00000E+00
  14400   0.10000E-02   0.14322E+02   0.22946E+01   0.21624E-04   0.18301E-05   0.00000E+00   0.00000E+00   0.19028E-06   0.00000E+00
  14500   0.10000E-02   0.14328E+02   0.22932E+01   0.20549E-04   0.17991E-05   0.00000E+00   0.00000E+00   0.18585E-06   0.00000E+00
  14600   0.10000E-02   0.14333E+02   0.22919E+01   0.19524E-04   0.17688E-05   0.00000E+00   0.00000E+00   0.18153E-06   0.00000E+00
  14700   0.10000E-02   0.14338E+02   0.22906E+01   0.18547E-04   0.17391E-05   0.00000E+00   0.00000E+00   0.17732E-06   0.00000E+00
  14800   0.10000E-02   0.14343E+02   0.22893E+01   0.17615E-04   0.17100E-05   0.00000E+00   0.00000E+00   0.17321E-06   0.00000E+00
  14900   0.10000E-02   0.14348E+02   0.22880E+01   0.16726E-04   0.16815E-05   0.00000E+00   0.00000E+00   0.16921E-06   0.00000E+00
  15000   0.10000E-02   0.14353E+02   0.22868E+01   0.15879E-04   0.16536E-05   0.00000E+00   0.00000E+00   0.16530E-06   0.00000E+00
  15100   0.10000E-02   0.14359E+02   0.22855E+01   0.15071E-04   0.16262E-05   0.00000E+00   0.00000E+00   0.16148E-06   0.00000E+00
  15200   0.10000E-02   0.14364E+02   0.22843E+01   0.14302E-04   0.15994E-05   0.00000E+00   0.00000E+00   0.15774E-06   0.00000E+00
  15300   0.10000E-02   0.14369E+02   0.22831E+01   0.13569E-04   0.15731E-05   0.00000E+00   0.00000E+00   0.15410E-06   0.00000E+00
  15400   0.10000E-02   0.14374E+02   0.22819E+01   0.12872E-04   0.15474E-05   0.00000E+00   0.00000E+00   0.15053E-06   0.00000E+00
  15500   0.10000E-02   0.14380E+02   0.22807E+01   0.12207E-04   0.15221E-05   0.00000E+00   0.00000E+00   0.14705E-06   0.00000E+00
  15600   0.10000E-02   0.14385E+02   0.22795E+01   0.11575E-04   0.14974E-05   0.00000E+00   0.00000E+00   0.14363E-06   0.00000E+00
  15700   0.10000E-02   0.14390E+02   0.22784E+01   0.10973E-04   0.14731E-05   0.00000E+00   0.00000E+00   0.14030E-06   0.00000E+00
  15800   0.10000E-02   0.14396E+02   0.22772E+01   0.10400E-04   0.14493E-05   0.00000E+00   0.00000E+00   0.13703E-06   0.00000E+00
  15900   0.10000E-02   0.14401E+02   0.22761E+01   0.98557E-05   0.14259E-05   0.00000E+00   0.00000E+00   0.13383E-06   0.00000E+00
  istep            dt          bulk        stress        cResid     kineResid      epsResid       v2Resid       omResid     nuSAresid
  16000   0.10000E-02   0.14406E+02   0.22750E+01   0.93378E-05   0.14030E-05   0.00000E+00   0.00000E+00   0.13070E-06   0.00000E+00
  16100   0.10000E-02   0.14412E+02   0.22739E+01   0.88455E-05   0.13805E-05   0.00000E+00   0.00000E+00   0.12763E-06   0.00000E+00
  16200   0.10000E-02   0.14417E+02   0.22728E+01   0.83775E-05   0.13584E-05   0.00000E+00   0.00000E+00   0.12463E-06   0.00000E+00
  16300   0.10000E-02   0.14422E+02   0.22717E+01   0.79330E-05   0.13368E-05   0.00000E+00   0.00000E+00   0.12169E-06   0.00000E+00
  16400   0.10000E-02   0.14428E+02   0.22707E+01   0.75107E-05   0.13155E-05   0.00000E+00   0.00000E+00   0.11880E-06   0.00000E+00
  16500   0.10000E-02   0.14433E+02   0.22696E+01   0.71097E-05   0.12946E-05   0.00000E+00   0.00000E+00   0.11598E-06   0.00000E+00
  16600   0.10000E-02   0.14439E+02   0.22686E+01   0.67290E-05   0.12741E-05   0.00000E+00   0.00000E+00   0.11321E-06   0.00000E+00
  16700   0.10000E-02   0.14444E+02   0.22676E+01   0.63677E-05   0.12539E-05   0.00000E+00   0.00000E+00   0.11049E-06   0.00000E+00
  16800   0.10000E-02   0.14450E+02   0.22666E+01   0.60250E-05   0.12341E-05   0.00000E+00   0.00000E+00   0.10783E-06   0.00000E+00
  16900   0.10000E-02   0.14455E+02   0.22656E+01   0.56999E-05   0.12147E-05   0.00000E+00   0.00000E+00   0.10522E-06   0.00000E+00
  17000   0.10000E-02   0.14460E+02   0.22646E+01   0.53916E-05   0.11955E-05   0.00000E+00   0.00000E+00   0.10266E-06   0.00000E+00
  17100   0.10000E-02   0.14466E+02   0.22636E+01   0.50994E-05   0.11767E-05   0.00000E+00   0.00000E+00   0.10016E-06   0.00000E+00
  17200   0.10000E-02   0.14471E+02   0.22627E+01   0.48224E-05   0.11582E-05   0.00000E+00   0.00000E+00   0.97700E-07   0.00000E+00
  17300   0.10000E-02   0.14477E+02   0.22617E+01   0.45601E-05   0.11400E-05   0.00000E+00   0.00000E+00   0.95293E-07   0.00000E+00
  17400   0.10000E-02   0.14483E+02   0.22608E+01   0.43116E-05   0.11221E-05   0.00000E+00   0.00000E+00   0.92935E-07   0.00000E+00
  17500   0.10000E-02   0.14488E+02   0.22599E+01   0.40763E-05   0.11045E-05   0.00000E+00   0.00000E+00   0.90624E-07   0.00000E+00
  17600   0.10000E-02   0.14494E+02   0.22590E+01   0.38536E-05   0.10872E-05   0.00000E+00   0.00000E+00   0.88360E-07   0.00000E+00
  17700   0.10000E-02   0.14499E+02   0.22581E+01   0.36428E-05   0.10702E-05   0.00000E+00   0.00000E+00   0.86142E-07   0.00000E+00
